TRANSPORTISTA,CD,FECHA,SEMANA,MES ,PLACAS,FUENTE,REPORTE,SISTEMA,ESTADO,CRITICIDAD,FECHA SOLUCIÓN,DÍAS DE CIERRE,DÍAS PARA CIERRE,CUMPLIMIENTO MTTO COR,META,META RT,PORCENTAJE DE RESPUESTA TALLER,OBSERVACIONES,EVIDENCIAS ANTES,EVIDENCIAS DESPUES
Surticerveza Pacheco SAS,Galapa,7/3/2026,10,Marzo,COLJT750,Checklist T2,Retrovisor del cpo dañado No tiene repuesto,ESPEJOS Y VIDRIOS,Cerrado,1,3/9/2026,2.00,-1,0%,80%,50%,0%,,,
Logisticos,Galapa,7/3/2026,10,Marzo,COKSP232,Checklist T2,Sin llanta de repuesto,LLANTAS,Cerrado,3,3/10/2026,3.00,27,100%,80%,50%,90%,,,
Logisticos,Galapa,7/3/2026,10,Marzo,COVEN060,Checklist T2,"Silla del auxiliar mal ubicada , retrovisores y carpa en mal estado",CARPAS/ESTERAS,Cerrado,2,3/10/2026,3.00,12,100%,80%,50%,80%,,,
Logisticos,Galapa,7/3/2026,10,Marzo,COVEJ085,Checklist T2,Puerta del conductor habré sólo por dentro la chapeta externa dañada.,PUERTAS,Cerrado,1,3/9/2026,2.00,-1,0%,80%,50%,0%,,,
Surticerveza Pacheco SAS,Galapa,7/3/2026,10,Marzo,COLJT750,Checklist T2,Eje lateral derecho espárragos flojos No tiene llanta de repuesto El ki de carretera solo extintor Llanta del lado izquierdo de afueras espichada,LLANTAS,Cerrado,3,3/10/2026,3.00,27,100%,80%,50%,90%,,,
Logisticos,Galapa,5/4/2026,14,Abril,COVEL589,Checklist T2,MOFLE roto,MOFLE,Cerrado,1,4/7/2026,2.00,-1,0%,80%,50%,0%,,,
Logisticos,Galapa,8/4/2026,15,Abril,COVEL589,Checklist T2,Mofle roto,MOFLE,Cerrado,1,4/10/2026,2.00,-1,0%,80%,50%,0%,,,
Surticerveza Pacheco SAS,Galapa,9/3/2026,11,Marzo,COLCM096,Checklist T2,No tiene llanta de repuesto tiene Luna de pantera derecha partida,LLANTAS,Cerrado,3,3/11/2026,2.00,28,100%,80%,50%,93%,,,
Surticerveza Pacheco SAS,Galapa,9/3/2026,11,Marzo,COPSX403,Checklist T2,Peldaños traseros dañados y cauchos afuera carpas del lado derecho rota,CARPAS/ESTERAS,Cerrado,2,3/10/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,9/3/2026,11,Marzo,COVEL186,Checklist T2,Fuga de aire.bota la Reversa.carpa lado derecho .se le salieron los caritos,CARPAS/ESTERAS,Cerrado,2,3/10/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,9/3/2026,11,Marzo,COVEJ085,Checklist T2,Puerta conductor habré sólo por dentro la chapeta externa dañada,PUERTAS,Cerrado,1,3/10/2026,1.00,0,100%,80%,50%,100%,,,
Logisticos,Galapa,9/3/2026,11,Marzo,COVEN060,Checklist T2,"Silla del auxiliar mal ubicada,carpa y retrovisores en mal estado",CARPAS/ESTERAS,Cerrado,2,3/12/2026,3.00,12,100%,80%,50%,80%,,,
Logisticos,Galapa,9/3/2026,11,Marzo,COKSP217,Checklist T2,"Estribo partido, stop partido",CARROCERÍA BOTELLERA,Cerrado,2,3/11/2026,2.00,13,100%,80%,50%,87%,,,
Surticervezas Pacheco SAS,Galapa,9/3/2026,11,Marzo,COPSX840,Checklist T2,Panorámico averiado,ESPEJOS Y VIDRIOS,Cerrado,1,3/12/2026,3.00,-2,0%,80%,50%,0%,,,
